linkName,url,icon
Carbon Dioxide Down,co2Down,
Carbon Dioxide Up,co2Up,
Volcanoes Down,VolcanoesDown,volcanoes_active.png
Volcanoes Up Icehouse,VolcanoesUpIcehouse,volcanoes_active.png
Volcanoes Up Greenhouse,VolcanoesUpGreenhouse,volcanoes_active.png
Mountain Building Up,MountainBuildGreenhouse,mountains_active.png
Mountain Building Down,MountainBuildDown,mountains_active.png
Carbon Burial Up,CBurialUp,
Carbon Burial Down,CBurialDown,
Insolation Up,InsolationUp,insulation_active.png
Insolation Down,InsolationDown,insulation_active.png
Mountains Up and Volcanoes Down,MountainsUpVolcanoesDown,mountains_active.png
Buried Carbon Release Up,BuriedCReleaselUpLT,
Buried Carbon Release Pulse Up,BuriedCReleasePulseUp,
Escape from Snowball Earth,EscapeSnowball,
Weathering Down,WeatheringDown,
Weathering Up,WeatheringUp,
